Kode_Barcode,Nama_Produk,Kategori,Harga,Satuan,Stok
8998989300261,SURYA KECIL ISI 12,,,,
8992779073205,GLADE PENGHARUM RUANGAN OCEAN ESCAPE,,,,
8997234670166,ROKOK OFFO ISI 20 ,,,,
8992745140689,HIT ALAT ELEK & REFILL,,,,
8992745120247,HIT MAT CLASSIC BTL 45,,,,
8992745120186,HIT ALAT ANTI NYAMUK ELEKTR KOTAK GRATIS 3 MAT PC,,,,
749921006868,HILO TEEN CHOCOLATE TPK 200mL,,,,
8998685011003,HEXOS CANDY MINT SCT 5X2.5g,,,,
8998866602273,HER S PROTEX 8 S MAXI BAG,,,,
8999908210005,HEMAVITON ACTION 5 SSTR,,,,
8999908271808,HEMAVITON JRENG T8BOX 6X4g,,,,
8999908034205,HEMAVITON DRINKBTL 150mL,,,,
4902430102247,HEAD &SHOULDERS MENTHOL 170mL,,,,
8993560033002,HARPIC BTL,,,,
8993379200886,HARMONY ORANGE,,,,
8993027111601,HAPPYTOS MERAH PCK 160g,,,,
8993027121600,HAPPYTOS HIJAU PCK 160g,,,,
8991115040093,HAPPYDENT10 SPCK 14g,,,,
8999777026134,HANSAPLAST PLESTER 10 S,,,,
8992858233506,HANDY CLEAN,,,,
8995177101112,GULAKU(PUTIH) PCK 1KG,,,,
8998989162203,GUDANG GARAM SIGNATURE MILD,,,,
8998989300391,GUDANG GARAM SURYA PRO MILD,,,,
8998989121163,GUDANG GARAM SURYA PROFESIONAL 16,,,,
8998989110167,GUDANG GARAM SURYA 16 S,,,,
8998989300155,GUDANG GARAM SIGNATUREBKS 12 S,,,,
8998989100120,GUDANG GARAM ROKOK FILTER MERAH 12 S,,,,
8998989300179,GUDANG GARAM GG MLD shiver,,,,
8994755030240,GOOD TIME COOKIES COFFEE PCK 80g,,,,
8993576700141,GOOD DEAL LILIN 8 SBOX,,,,
8991002103238,GOOD DAY MOCACINNO 10X,,,,
8991002103788,GOOD DAY KOPI INSTANT CAPPUCCINO W/COKLAT G BOX 5,,,,
8991002103320,GOOD DAY K VANILLA LA BOX 5X20g,,,,
8991002103528,GOOD DAY ORIGINAL BOX 5X20g,,,,
8991002103221,GOOD DAY MOCACINNO BOX 5X20g,,,,
8991002103825,GOOD DAY CHOCOCINNO BOX 5x20g,,,,
8991002121058,GOOD DAY WHITE VANI TPK 200ML,,,,
8991002121003,GOOD DAY TIRAMISU B BTL 250mL,,,,
8991002121034,GOOD DAY MOCCA LATT TPK 200mL,,,,
8991002121010,GOOD DAY COFFEE DRINK FUNTS.MOCA BTL 250mL,,,,
8991002121041,GOOD DAY CRMEL MACC TPK 200mL,,,,
8991002103764,GOOD DAY CAPPUCCINO PCK 10X25G,,,,
8991115530013,GOLIA LEMONSAK,,,,
8991115500016,GOLIA ACTIVESAK,,,,
8851019210117,GLICO POCKY BOX 47g,,,,
8992222310031,GLAZELLE INSPIRING BTL 100mL,,,,
8992779111907,GLADE BATH LAVN PCK 75gr,,,,
8992779140402,GLADE 2 IN 1 FRESH LEMO KLG 350mL,,,,
8998866608312,GIV PAPAYA BAR 80g,,,,
8998866608305,GIV WHITE BENGK BAR 80g,,,,
8998866606417,GIV SOY BEAN BAR 80g,,,,
8998866888653,GIV S(COKLAT) BAR 80g,,,,
8998866888615,GIV (BIRU) BAR 80g,,,,
8888826016175,GILLETTE RAZOR VECTOR GANDAPCK,,,,
8992765301008,GILLETTE RAZOR GOAL II YELLOW SINGLEPCS,,,,
7702018965236,GILLETTE RAZOR GOAL II YELLOW 2 SPCK,,,,
8888826019589,GILLETTE RAZOR BLUE II PLUS SINGLEPCS,,,,
8888826016182,GILLETTE CARTRIDGE GANDA VECTOR 2 SPCK,,,,
8992765101004,GILLETTE BLADES GOAL 5 S RED BOX,,,,
8992775311608,GERY CHOCOLATOSPCS 16/14.5g,,,,
8993176812022,GELIGA BALSAM 20g,,,,
8992222050203,GATSBY SUPER HARD POT 75g,,,,
8992222052993,GATSBY WATERGLOSS HYPER SOLI POT 75g,,,,
8992222050142,GATSBY WATERGLOSS HARD POT 75g,,,,
8992222052108,GATSBY TOUGH & SHINE POT 75g,,,,
8992222051729,GATSBY POWER & SP POT 75g,,,,
8992222051613,GATSBY MAT & HARD POT 75g,,,,
8992222051606,GATSBY HARD & FREE POT 75g,,,,
8992222051422,GATSBY WILD FOREST BTL 75mL,,,,
8992222051385,GATSBY DEEP OCEAN BTL 75mL,,,,
8992222050456,GATSBY SHOWER 3 IN 1 FLORAL WOO BTL,,,,
8992222050241,GATSBY HAIR CREAM NORMAL POT 70g,,,,
8992222051262,GATSBY ROLL ON FLORAL WOO BTL 50mL,,,,
8992222050371,GATSBY SPRAYKLG 175mL,,,,
8992222051682,GATSBY REFRESHING SPORT BTL 100mL,,,,
8992775211410,GARUDA SNACK PILUS PEDAS PCK 95g,,,,
8992775212110,GARUDA KACANG TELURPCK 100g,,,,
